import time: self [us] | cumulative | imported package
import time:       193 |        193 | winreg
import time:       418 |        418 |   _io
import time:        64 |         64 |   marshal
import time:       267 |        267 |   nt
import time:       498 |       1245 | _frozen_importlib_external
import time:       110 |        110 |   time
import time:       157 |        266 | zipimport
import time:       273 |        273 |     _codecs
import time:       847 |       1120 |   codecs
import time:      3258 |       3258 |   encodings.aliases
import time:      2938 |       7315 | encodings
import time:      1072 |       1072 | encodings.utf_8
import time:      1990 |       1990 | encodings.cp1252
import time:        92 |         92 | _signal
import time:        59 |         59 |     _abc
import time:       196 |        254 |   abc
import time:       244 |        498 | io
import time:        86 |         86 |       _stat
import time:       109 |        194 |     stat
import time:      1163 |       1163 |     _collections_abc
import time:        93 |         93 |       genericpath
import time:       207 |        207 |       _winapi
import time:       182 |        481 |     ntpath
import time:       454 |       2291 |   os
import time:       144 |        144 |   _sitebuiltins
import time:      2314 |       2314 |   encodings.utf_8_sig
import time:      4314 |       4314 |   _virtualenv
import time:      3020 |       3020 |   _distutils_hack
import time:      2234 |       2234 |   types
import time:      2474 |       2474 |       warnings
import time:      3757 |       6230 |     importlib
import time:      1872 |       1872 |     importlib._abc
import time:       261 |       8362 |   importlib.util
import time:       110 |        110 |   importlib.machinery
import time:      1097 |       1097 |     pywin32_system32
import time:      1668 |       2765 |   pywin32_bootstrap
import time:      4296 |       4296 |     __future__
import time:       356 |        356 |         itertools
import time:      2475 |       2475 |         keyword
import time:       181 |        181 |           _operator
import time:      1927 |       2107 |         operator
import time:      2748 |       2748 |         reprlib
import time:       167 |        167 |         _collections
import time:      3216 |      11068 |       collections
import time:       164 |        164 |             _functools
import time:      2233 |       2397 |           functools
import time:      5681 |       8078 |         enum
import time:       270 |        270 |           _sre
import time:      2486 |       2486 |             re._constants
import time:      2849 |       5335 |           re._parser
import time:      1576 |       1576 |           re._casefix
import time:     10784 |      17964 |         re._compiler
import time:      1699 |       1699 |         copyreg
import time:      2531 |      30270 |       re
import time:      5605 |       5605 |       _wmi
import time:      4180 |      51122 |     platform
import time:      2057 |      57474 |   sitecustomize
import time:     10281 |      93304 | site
import time:      2280 |       2280 |       collections.abc
import time:      1773 |       1773 |         concurrent
import time:      3128 |       3128 |                   token
import time:       132 |        132 |                   _tokenize
import time:      4815 |       8074 |                 tokenize
import time:      2429 |      10502 |               linecache
import time:      3075 |       3075 |               textwrap
import time:      6094 |       6094 |               contextlib
import time:      6426 |      26096 |             traceback
import time:      2857 |       2857 |               _weakrefset
import time:     10041 |      12898 |             weakref
import time:       129 |        129 |               _string
import time:      3442 |       3570 |             string
import time:      2485 |       2485 |             threading
import time:       132 |        132 |             atexit
import time:      4989 |      50168 |           logging
import time:      4071 |      54238 |         concurrent.futures._base
import time:      2857 |      58868 |       concurrent.futures
import time:       178 |        178 |       errno
import time:       114 |        114 |         _heapq
import time:      1846 |       1960 |       heapq
import time:      4225 |       4225 |         _socket
import time:       157 |        157 |           math
import time:      1134 |       1134 |           select
import time:      2592 |       3882 |         selectors
import time:      3649 |      11756 |       socket
import time:       173 |        173 |           _locale
import time:      2955 |       3127 |         locale
import time:      3739 |       3739 |         signal
import time:       716 |        716 |         fcntl
import time:       129 |        129 |         msvcrt
import time:      3225 |      10933 |       subprocess
import time:     14091 |      14091 |         _ssl
import time:       169 |        169 |             _struct
import time:      1736 |       1904 |           struct
import time:       119 |        119 |           binascii
import time:      6066 |       8089 |         base64
import time:      6086 |      28264 |       ssl
import time:      3798 |       3798 |       asyncio.constants
import time:      2003 |       2003 |             _ast
import time:      7849 |       9851 |           ast
import time:       116 |        116 |               _opcode
import time:      2865 |       2981 |             opcode
import time:      3511 |       6491 |           dis
import time:      6339 |      22681 |         inspect
import time:      1578 |      24258 |       asyncio.coroutines
import time:       124 |        124 |           _contextvars
import time:      1351 |       1474 |         contextvars
